date,year,month,day,day_of_week,data_type,name,pv,total_pv,channel_id,channel_type,channel_category,keyword,keyword_id,keyword_type,keyword_category
2024-10-01,2024,10,1,Tuesday,channel,네이버검색,348.0,385.0,,,,,,,
2024-10-01,2024,10,1,Tuesday,channel,네이버지도,37.0,385.0,,,,,,,
2024-10-01,2024,10,1,Tuesday,keyword,285한의원구로동,326.0,385.0,,,,,,,
2024-10-01,2024,10,1,Tuesday,keyword,구로한의원,8.0,385.0,,,,,,,
2024-10-01,2024,10,1,Tuesday,keyword,좋은아침한의원,7.0,385.0,,,,,,,
2024-10-01,2024,10,1,Tuesday,keyword,구로디지털한의원,2.0,385.0,,,,,,,
2024-10-01,2024,10,1,Tuesday,keyword,좋은아침한의원구로디지털점,1.0,385.0,,,,,,,
2024-10-01,2024,10,1,Tuesday,keyword,구디교통사고한의원,1.0,385.0,,,,,,,
2024-10-01,2024,10,1,Tuesday,keyword,구로디지털단지한의원,1.0,385.0,,,,,,,
2024-10-01,2024,10,1,Tuesday,keyword,구로좋은아침한의원,1.0,385.0,,,,,,,
2024-10-01,2024,10,1,Tuesday,keyword,아침한의원,1.0,385.0,,,,,,,
2024-10-02,2024,10,2,Wednesday,channel,네이버검색,334.0,390.0,,,,,,,
2024-10-02,2024,10,2,Wednesday,channel,네이버지도,55.0,390.0,,,,,,,
2024-10-02,2024,10,2,Wednesday,channel,네이버 플레이스광고,1.0,390.0,,,,,,,
2024-10-02,2024,10,2,Wednesday,keyword,285한의원구로동,312.0,390.0,,,,,,,
2024-10-02,2024,10,2,Wednesday,keyword,구로한의원,6.0,390.0,,,,,,,
2024-10-02,2024,10,2,Wednesday,keyword,구디한의원,4.0,390.0,,,,,,,
2024-10-02,2024,10,2,Wednesday,keyword,구로좋은아침한의원,4.0,390.0,,,,,,,
2024-10-02,2024,10,2,Wednesday,keyword,구로디지털교통사고,3.0,390.0,,,,,,,
2024-10-02,2024,10,2,Wednesday,keyword,좋은아침한의원,1.0,390.0,,,,,,,
2024-10-02,2024,10,2,Wednesday,keyword,구로디지털단지야간진료,1.0,390.0,,,,,,,
2024-10-02,2024,10,2,Wednesday,keyword,구로디지털단지한의원,1.0,390.0,,,,,,,
2024-10-02,2024,10,2,Wednesday,keyword,구로입원,1.0,390.0,,,,,,,
2024-10-02,2024,10,2,Wednesday,keyword,한의원,1.0,390.0,,,,,,,
2024-10-02,2024,10,2,Wednesday,keyword,금천구재활입원병원,1.0,390.0,,,,,,,
2024-10-03,2024,10,3,Thursday,channel,네이버검색,313.0,351.0,,,,,,,
2024-10-03,2024,10,3,Thursday,channel,네이버지도,37.0,351.0,,,,,,,
